,distance,global_stop_id,location_type,parent_station_global_stop_id,route_type,rt_stop_id,stop_code,stop_lat,stop_lon,stop_name,wheelchair_boarding
0,10118,CATAMI:9228,0,,3,5593,5593,42.71591729524137,-84.39967564823418,Gr River / Paddock Dr,0
1,10105,CATAMI:9291,0,,3,5672,5672,42.71580038359775,-84.39954974338721,Gr River / Paddock Farms,0
2,14387,CATAMI:8701,0,,3,2640,2640,42.75398552504278,-84.41003581849907,Lake Lansing / Martinus St,0
3,14398,CATAMI:8702,0,,3,2641,2641,42.75398552504278,-84.41167258150966,Lake Lansing / Cypress St,0
4,14247,CATAMI:7970,0,,3,2655,2655,42.75278942899658,-84.40865985838576,Marsh / E Lake Lansing Ct.,0
5,14179,CATAMI:8700,0,,3,3950,3950,42.75219587757515,-84.40848898752202,Marsh / Lake Lansing Rd,0
6,13867,CATAMI:7971,0,,3,2630,2630,42.7493720117217,-84.4085339535388,Marsh / W Lake Dr,0
7,13698,CATAMI:8698,0,,3,3948,3948,42.74786115355808,-84.40834509626833,Marsh / Haslett Rd,0
8,13164,CATAMI:8697,0,,3,3947,3947,42.74306777616989,-84.40810227977775,Marsh / Franklin St,0
9,13040,CATAMI:7973,0,,3,2666,2666,42.74193463254718,-84.40814724579452,Marsh / Nemoke Trl,0
10,12627,CATAMI:7974,0,,3,2667,2667,42.73821144635824,-84.40821019821801,Marsh / Rolling Hills Dr,0
11,12441,CATAMI:8695,0,,3,3945,3945,42.73649374451745,-84.40900160011324,Marsh / Huntsville Rd,0
12,12395,CATAMI:7975,0,,3,2668,2668,42.73605307755305,-84.40936132824744,Marsh / Huntsville Dr,0
13,12075,CATAMI:7976,0,,3,2669,2669,42.73307632724257,-84.4108272203943,Marsh Rd / Tihart Dr,0
14,12039,CATAMI:8694,0,,3,3944,3944,42.73274357871844,-84.41085420000437,Marsh / Tihart Rd,0
15,11567,CATAMI:8692,0,,3,4863,4863,42.72859771197182,-84.40903757292666,Times Square / Central Park,0
16,10548,CATAMI:9289,0,,3,4682,4682,42.71938867173637,-84.4092713962139,Central Park / Grand River,0
17,10440,CATAMI:9154,0,,3,5609,5609,42.71823754170694,-84.41159164267947,Gr River / Dobie Road,0
18,10432,CATAMI:7937,0,,3,5670,5670,42.71821056209687,-84.41114198251172,Grand River / Dobie,0
19,10232,CATAMI:9155,0,,3,3981,3981,42.71644789423931,-84.41040453983662,Dobie / Hamilton Rd,0
20,10155,CATAMI:7936,0,,3,4616,4616,42.71576441078433,-84.41026964178629,Dobie / Minoka Trail,0
21,14565,CATAMI:7967,0,,3,5447,5447,42.75491182498834,-84.4194067363949,Lake Lansing / Bois Isle,0
22,14431,CATAMI:8703,0,,3,2642,2642,42.75397653183943,-84.41615119678042,Lake Lansing / Buena Pkwy,0
23,13755,CATAMI:8710,0,,3,4611,4611,42.74751941183059,-84.41985639656265,Bois Isle / Haslett Rd,0
24,11679,CATAMI:9681,0,,3,6115,6115,42.7286606643953,-84.41973049171568,Central Park / Farmer's Market,0
25,11445,CATAMI:8691,0,,3,4862,4862,42.72714081302832,-84.41386692312827,Central Park / Marsh,0
26,11225,CATAMI:10544,0,,3,1,1,42.72441587241178,-84.42059383923775,Meridian Mall,0
27,10832,CATAMI:7939,0,,3,1712,1712,42.72080959786645,-84.42074672369479,Gr. River Ave / Marsh Rd,0
28,10575,CATAMI:9153,0,,3,4617,4617,42.71914585524578,-84.41492812112415,Gr River / Washington Hts,0
29,14659,CATAMI:8705,0,,3,3961,3961,42.75550537640977,-84.42198778575776,Lake Lansing / Bois Isle,0
30,14658,CATAMI:7966,0,,3,2652,2652,42.75538846476615,-84.42306697016036,Lake Lansing / Bois Isle,0
31,14637,CATAMI:8706,0,,3,2646,2646,42.75510967546214,-84.42395729729249,Lacdumont / Lake Lansing,0
32,14625,CATAMI:7965,0,,3,2645,2645,42.75501075022525,-84.42380441283547,Lacdumont / Lake Lansing,0
33,14391,CATAMI:7964,0,,3,2644,2644,42.75280741540328,-84.42450588269715,Lacdumont Near #2091,0
34,14155,CATAMI:8708,0,,3,4609,4609,42.75062206698804,-84.42477567879779,Lacdumont / Lake Lansing,0
35,14066,CATAMI:7963,0,,3,5720,5720,42.74992059712635,-84.42378642642875,Lacdumont / Bois Isle,0
36,12711,CATAMI:8696,0,,3,3946,3946,42.73898486184676,-84.40785047008382,Marsh / Rolling Hills Dr,0
37,13899,CATAMI:7959,0,,3,2912,2912,42.7469168672058,-84.434434379201,Haslett / Westminster Way,0
